iter	TotalF1	MultiClass
0	0.4379971251	1.818219095
1	0.5053357938	1.735829681
2	0.5016040869	1.683289328
3	0.5144059943	1.624559307
4	0.5313496264	1.577661127
5	0.5390826941	1.547918427
6	0.5631520729	1.511100003
7	0.5622267764	1.479796297
8	0.5685690336	1.454089469
9	0.5634438005	1.423832741
10	0.5749927582	1.407382939
11	0.5874380661	1.383824086
12	0.5942656579	1.363835827
13	0.597609311	1.349157582
14	0.6009586508	1.330309185
15	0.6008794265	1.310637767
16	0.6045981518	1.292374299
17	0.6104540057	1.273482754
18	0.6148028724	1.261289356
19	0.616607446	1.25194413
20	0.618418702	1.238684801
21	0.6215799847	1.230146722
22	0.6220927318	1.218511458
23	0.6247605108	1.208040409
24	0.6276318523	1.200362081
25	0.6287657132	1.190780077
26	0.6323280514	1.184977113
27	0.6370459675	1.174196487
28	0.6401265289	1.165739768
29	0.6431334976	1.156993944
30	0.6448667183	1.148942335
31	0.6465223294	1.141807197
32	0.6483503802	1.135940781
33	0.6513060481	1.130296559
34	0.6541679647	1.124123632
35	0.6559332509	1.116462955
36	0.6589157188	1.106420687
37	0.6604048178	1.10069402
38	0.661312541	1.09620001
39	0.6635698454	1.089888903
40	0.6677498453	1.082735114
41	0.6693231907	1.077281981
42	0.6702104849	1.0739553
43	0.6715725867	1.067639662
44	0.6736291788	1.063147527
45	0.6753050475	1.059538076
46	0.6764667691	1.053551624
47	0.6780650626	1.048590518
48	0.6784845725	1.044164632
49	0.679743431	1.039172631
50	0.6825025199	1.033376778
51	0.6829467489	1.030482261
52	0.6841264426	1.026689485
53	0.6848555787	1.023748219
54	0.6848254346	1.021216237
55	0.6865878536	1.016906031
56	0.6874653896	1.013108156
57	0.6877243536	1.01020436
58	0.6883623812	1.006631757
59	0.6897237203	1.001461641
60	0.690500395	0.9983660503
61	0.6916989938	0.9959333774
62	0.6930732132	0.9934056915
63	0.6938534259	0.9909427153
64	0.6940392946	0.9876903708
65	0.6943900256	0.9830368936
66	0.6952772434	0.9808287862
67	0.6962913391	0.9777095708
68	0.697659536	0.9749581178
69	0.6981695404	0.9732120584
70	0.6995292895	0.9713468669
71	0.6999669044	0.9696329513
72	0.7006098135	0.9661079316
73	0.7012778725	0.9640520503
74	0.7008694992	0.9618600383
75	0.7020717757	0.9588956304
76	0.7022907946	0.9570845008
77	0.7025574965	0.9547050092
78	0.7034848935	0.9523378026
79	0.7039699476	0.9507165344
80	0.7046490906	0.9489918236
81	0.7048819463	0.9474810759
82	0.7059483959	0.9448987335
83	0.7066006263	0.9424849967
84	0.7072943722	0.9404039559
85	0.7078080578	0.9378422762
86	0.7086981203	0.9341377147
87	0.7095958706	0.9323690626
88	0.7104885796	0.9306981093
89	0.7113926597	0.9289171364
90	0.7121310419	0.9263320869
91	0.712182834	0.9240953493
92	0.7130156978	0.9221200946
93	0.7129628819	0.9199351802
94	0.7133563001	0.918823771
95	0.713887492	0.9170090027
96	0.7146091993	0.9153394143
97	0.7147721276	0.9138509947
98	0.7150794924	0.9118505225
99	0.7150386592	0.9094999814
100	0.7167812876	0.9077075307
101	0.717033339	0.9062062622
102	0.7176838691	0.9026535981
103	0.7184318343	0.9013508316
104	0.7187183895	0.8996703121
105	0.7187571964	0.8978361981
106	0.720810246	0.8947760398
107	0.7213059169	0.8929685574
108	0.7220654045	0.8919083546
109	0.7221814533	0.890376404
110	0.7228405328	0.8867521939
111	0.7238601427	0.8841600528
112	0.7245377747	0.8826666731
113	0.7249478066	0.8811457844
114	0.7252574637	0.8799826154
115	0.7254745779	0.8784764108
116	0.7260126021	0.8764016943
117	0.7266353969	0.8743993087
118	0.7273254696	0.8711437222
119	0.7278699523	0.8685929988
120	0.7280210666	0.8672508918
121	0.7285342023	0.8653456387
122	0.7294116687	0.8622291944
123	0.7301257231	0.859909734
124	0.730470479	0.8577137466
125	0.7318678492	0.8535692862
126	0.7320703135	0.8517097893
127	0.7325037417	0.8491078824
128	0.7326524056	0.8469824632
129	0.7335238503	0.8443210335
130	0.7339929374	0.8428028718
131	0.7339181911	0.8411510782
132	0.7343910918	0.8386795441
133	0.7352673276	0.8366266749
134	0.7360765064	0.8346313366
135	0.7364872119	0.8326660185
136	0.7367782132	0.8298548623
137	0.7369684197	0.82821535
138	0.7372264145	0.825997931
139	0.7376077915	0.8240975053
140	0.7381221012	0.8224586163
141	0.7383039115	0.820812673
142	0.7391492281	0.8185095984
143	0.7398149615	0.8153045729
144	0.7404314777	0.8131474579
145	0.7408544211	0.8110049729
146	0.7412159451	0.8095212819
147	0.7416953258	0.8084742022
148	0.7422228547	0.8066148749
149	0.7427874618	0.8048619293
150	0.7431033542	0.8031432947
151	0.7432953334	0.8016700367
152	0.7439155486	0.7995662723
153	0.7447661778	0.797186321
154	0.7455590717	0.7951686755
155	0.7458978589	0.7942000502
156	0.7461486898	0.7922903772
157	0.7465465935	0.7908280494
158	0.7463639092	0.7890819542
159	0.7470515186	0.7877411324
160	0.7471540818	0.7859406262
161	0.7474477326	0.7847932503
162	0.7479227772	0.7838289497
163	0.7485466386	0.7820107154
164	0.7490575168	0.7803095484
165	0.7499579363	0.778452943
166	0.7502839593	0.7768924557
167	0.7507013227	0.7752975251
168	0.7509132955	0.7742389318
169	0.7511340135	0.7728515286
170	0.7516310623	0.7712821453
171	0.7521953597	0.7701648084
172	0.7522645804	0.7687306008
173	0.7527256084	0.7671491827
174	0.7529868149	0.7660080805
175	0.7536487937	0.7641596075
176	0.7539354556	0.7627712503
177	0.7546760841	0.7609938315
178	0.7551262334	0.7596045049
179	0.75547288	0.7584126639
180	0.7554316365	0.757388673
181	0.7558532933	0.7558834082
182	0.7561272798	0.7545031991
183	0.756770732	0.7530581932
184	0.756689478	0.7519660486
185	0.7572282593	0.7505552541
186	0.7576474698	0.7492763277
187	0.7582930287	0.7483658467
188	0.7589442762	0.7469969082
189	0.7598234543	0.7458900276
190	0.7598230113	0.7451743886
191	0.7600519992	0.744584038
192	0.7602559943	0.7432979337
193	0.760299598	0.7425113354
194	0.7603805336	0.7415414529
195	0.7605725143	0.7406433946
196	0.7607429235	0.7396860989
197	0.7610913222	0.7385883591
198	0.7613153048	0.7377666146
199	0.7619386633	0.7367593099
200	0.7625222723	0.7354701413
201	0.7629285617	0.7346654324
202	0.762996622	0.7339517851
203	0.7630891204	0.7328775127
204	0.7633108171	0.732075808
205	0.7636017164	0.731258185
206	0.7637007158	0.7302370134
207	0.763832205	0.7296823582
208	0.7641865904	0.7290588124
209	0.7645194415	0.7283633916
210	0.7647262774	0.7272820911
211	0.76479612	0.7267551183
212	0.7654007616	0.7255613179
213	0.7661021447	0.7246924997
214	0.7662398351	0.7237850413
215	0.7666205263	0.7228621789
216	0.7670762649	0.7216551686
217	0.7671221947	0.720938353
218	0.7673106489	0.7200205125
219	0.7679024035	0.719167489
220	0.7679571564	0.7183467876
221	0.7680372004	0.7177669407
222	0.7682819501	0.7167217373
223	0.7684831527	0.7154982838
224	0.7685023469	0.7149119936
225	0.7685488929	0.7143259315
226	0.7690336409	0.7135865203
227	0.7692199045	0.7130297489
228	0.7694219073	0.7123874855
229	0.7694938338	0.7119927695
230	0.7697009828	0.7113257073
231	0.7699722178	0.7108236157
232	0.7702864564	0.7100401832
233	0.7703746338	0.7095938334
234	0.7709064358	0.7085737642
235	0.7711657755	0.7080246767
236	0.7716648855	0.7071756632
237	0.7718456744	0.7066317603
238	0.7719877619	0.7058575962
239	0.7720832923	0.7053165798
240	0.7723827131	0.7045884953
241	0.7727618394	0.7038591155
242	0.7729250746	0.7027761362
243	0.7736881242	0.701938297
244	0.7738480462	0.7012396448
245	0.77385564	0.7005937
246	0.7744879472	0.6996549759
247	0.7749065767	0.6990034023
248	0.775434629	0.6982167349
249	0.7756032697	0.6974907823
250	0.7760385824	0.6966927168
251	0.7763811778	0.6960407
252	0.7764111381	0.695691315
253	0.7766176929	0.6949046093
254	0.7767983729	0.6943922273
255	0.7768876384	0.6940795331
256	0.776968234	0.6934163713
257	0.777300126	0.6924215252
258	0.7774268657	0.6919752473
259	0.7775268866	0.691323256
260	0.7779217204	0.6902750079
261	0.7779641268	0.6898760519
262	0.7781550008	0.6893777285
263	0.7782727872	0.6889585962
264	0.7787231462	0.688074023
265	0.7788443317	0.6876918201
266	0.7789018942	0.6870804188
267	0.7790950642	0.6862761684
268	0.7794348803	0.6857188444
269	0.7795765102	0.6854311219
270	0.7797092577	0.6849138099
271	0.779879079	0.6842686895
272	0.779994806	0.6837702189
273	0.7802424567	0.683053807
274	0.7801561898	0.6827665652
275	0.7804375752	0.6821059912
276	0.7808139399	0.6813964928
277	0.78096368	0.6809408748
278	0.7812434868	0.6802267979
279	0.7814736135	0.6797123839
280	0.7816434357	0.6792730385
281	0.7817006856	0.6788952029
282	0.7818187666	0.6783408406
283	0.7821656269	0.6771109024
