iter	Passed	Remaining
0	5355	5350256
1	10199	5089552
2	13571	4510301
3	16503	4109307
4	19054	3791754
5	21575	3574308
6	23806	3377164
7	26331	3265064
8	28634	3153011
9	31235	3092357
10	33755	3034950
11	36208	2981193
12	38527	2925091
13	40818	2874779
14	43061	2827717
15	45593	2803981
16	47961	2773274
17	50427	2751108
18	52697	2720833
19	54896	2689909
20	57522	2681635
21	60260	2678842
22	63521	2698296
23	66280	2695426
24	68995	2690824
25	71493	2678267
26	74272	2676545
27	76900	2669530
28	79534	2663032
29	82046	2652848
30	84891	2653539
31	87375	2643106
32	90071	2639357
33	93031	2643179
34	95843	2642540
35	98250	2630939
36	100831	2624345
37	103257	2614039
38	105526	2600288
39	107926	2590234
40	110559	2586018
41	112764	2572094
42	114916	2557552
43	117281	2548207
44	119526	2536620
45	121737	2524732
46	123959	2513473
47	126267	2504307
48	128497	2493908
49	130720	2483681
50	132881	2472636
51	135045	2461990
52	137256	2452483
53	139638	2446251
54	141855	2437341
55	144015	2427688
56	146167	2418169
57	148316	2408867
58	150694	2403450
59	153095	2398492
60	155250	2389847
61	157389	2381155
62	159516	2372490
63	161656	2364221
64	163808	2356318
65	166171	2351584
66	168338	2344183
67	170482	2336614
68	172635	2329332
69	174744	2321605
70	177015	2316155
71	179273	2310629
72	181514	2304979
73	183714	2298910
74	186008	2294110
75	188917	2296839
76	191087	2290571
77	193204	2283776
78	195339	2277307
79	197462	2270816
80	199634	2264987
81	201808	2259268
82	204038	2254257
83	206357	2250277
84	208510	2244551
85	210931	2241761
86	214102	2246847
87	216648	2245262
88	219042	2242108
89	221625	2240878
90	224437	2241909
91	226619	2236636
92	228746	2230892
93	231103	2227444
94	233441	2223840
95	235621	2218772
96	237870	2214398
97	240292	2211668
98	242738	2209169
99	245045	2205408
100	247554	2203477
101	250150	2202304
102	253163	2204735
103	255893	2204625
104	258393	2202495
105	260754	2199193
106	263178	2196436
107	265900	2196137
108	268627	2195846
109	271382	2195731
110	274380	2197512
111	276950	2195824
112	279272	2192165
113	281716	2189484
114	283951	2185188
115	286449	2182943
116	289111	2181927
117	292003	2182599
118	295307	2186270
119	298772	2191000
120	301719	2191827
121	305073	2195526
122	307924	2195526
123	310325	2192296
124	312655	2188587
125	315128	2185894
126	317281	2180997
127	319834	2178873
128	322344	2176452
129	325253	2176699
130	327935	2175386
131	330753	2174957
132	333164	2171829
133	335861	2170570
134	338217	2167095
135	340627	2163985
136	343012	2160725
137	345805	2160031
138	348743	2160204
139	351656	2160173
140	354357	2158818
141	356847	2156160
142	359649	2155382
143	362161	2152846
144	364632	2150073
145	366912	2146189
146	369001	2141210
147	371096	2136313
148	373303	2132090
149	375594	2128371
150	377773	2124037
151	379862	2119233
152	382004	2114754
153	384452	2111994
154	386748	2108403
155	388889	2103991
156	391388	2101532
157	393397	2096461
158	395440	2091605
159	397452	2086627
160	399591	2082344
161	401552	2077167
162	403535	2072140
163	405736	2068268
164	408079	2065127
165	410410	2061941
166	412390	2057013
167	414501	2052768
168	416484	2047920
169	418457	2043056
170	420478	2038458
171	422455	2033679
172	424448	2029012
173	426474	2024526
174	428486	2020006
175	430584	2015920
176	432603	2011483
177	434719	2007524
178	436725	2003080
179	438737	1998693
180	440721	1994203
181	442750	1989944
182	444741	1985538
183	446955	1982149
184	448936	1977749
185	450967	1973588
186	453260	1970591
187	455339	1966678
188	457490	1963095
189	459527	1959039
190	461534	1954876
191	463487	1950510
192	465536	1946569
193	467528	1942411
194	469510	1938235
195	471475	1934011
196	473445	1929832
197	475467	1925882
198	477513	1922049
199	479569	1918277
200	481706	1914844
201	483911	1911689
202	485914	1907752
203	488187	1904888
204	490242	1901184
205	492273	1897403
206	494294	1893602
207	496347	1889938
208	498524	1886760
209	501064	1884957
210	503416	1882444
211	505792	1880023
212	508581	1879123
213	510712	1875793
214	513179	1873700
215	515515	1871129
216	518030	1869206
217	520722	1867913
218	523098	1865479
219	525543	1863290
220	527720	1860154
221	529986	1857340
222	532448	1855212
223	535003	1853406
224	537375	1850959
225	539546	1847827
226	541852	1845164
227	544111	1842343
228	546201	1838956
229	548432	1836056
230	550747	1833440
231	553398	1831938
232	555574	1828865
233	557746	1825786
234	560638	1825056
235	562889	1822235
236	565033	1819073
237	567030	1815449
238	569033	1811859
239	571024	1808244
240	573009	1804622
241	575082	1801290
242	577096	1797787
243	579110	1794294
244	581117	1790791
245	583132	1787326
246	585178	1783966
247	587211	1780578
248	589256	1777235
249	591272	1773817
250	593276	1770374
251	595249	1766852
252	597269	1763479
253	599260	1760032
254	601260	1756623
255	603371	1753547
256	605444	1750369
257	607451	1747011
258	609466	1743686
259	611680	1740936
260	613975	1738419
261	616172	1735631
262	618164	1732271
263	620121	1728824
264	622251	1725867
265	624210	1722444
266	626195	1719106
267	628180	1715775
268	630176	1712487
269	632194	1709265
270	634151	1705891
271	636150	1702638
272	638120	1699317
273	640117	1696078
274	642071	1692733
275	644103	1689606
276	646108	1686413
277	648260	1683612
278	650234	1680355
279	652487	1677824
280	655113	1676250
281	657708	1674591
282	660714	1673964
283	663990	1674004
284	666820	1672900
285	669358	1671055
286	671763	1668875
287	674124	1666585
288	676919	1665363
289	679388	1663329
290	681679	1660861
291	684088	1658680
292	686295	1656010
293	688747	1653931
294	691086	1651580
295	693716	1649920
296	696001	1647437
297	698266	1644909
298	700391	1642055
299	702671	1639567
300	705178	1637608
301	708337	1637151
302	710940	1635398
303	713210	1632875
304	715400	1630174
305	717865	1628100
306	720078	1625454
307	722170	1622537
308	724289	1619688
309	726386	1616796
310	728493	1613929
311	730607	1611083
312	732717	1608233
313	734837	1605409
314	736969	1602616
315	739047	1599710
316	741147	1596856
317	743227	1593966
318	745364	1591200
319	747462	1588358
320	749564	1585527
321	751660	1582688
322	753742	1579826
323	755868	1577059
324	757967	1574239
325	760044	1571379
326	762480	1569264
327	764739	1566782
328	767053	1564415
329	769313	1561938
330	771481	1559277
331	773643	1556608
332	776168	1554668
333	778744	1552825
334	780997	1550337
335	783217	1547786
336	785300	1544968
337	787406	1542198
338	789528	1539463
339	791715	1536859
